1.00612	536
1.01281	1072
1.02005	1608
1.02728	2144
1.03393	2680
1.03511	3216
1.04116	3752
1.04234	4288
1.04352	4824
1.04839	5360
1.04957	5896
1.05075	6432
1.05193	6968
1.05504	7504
1.05622	8040
1.0574	8576
1.05858	9112
1.05976	9648
1.06213	4288
1.07526	4355
1.07644	4420
1.07762	4484
1.0788	4548
1.08249	4611
1.08367	4673
1.08485	4734
1.08603	4794
1.08973	4853
1.09091	4912
1.09209	4970
1.09327	5027
1.09696	5084
1.09814	5140
1.09932	5195
1.1005	5250
1.10361	5304
1.10479	5358
1.10597	5411
1.10715	5464
1.11025	5516
1.11143	5568
1.11366	1500
1.12695	1691
1.13418	1860
1.14083	2014
1.14747	2156
1.15412	2289
1.1553	2414
1.16135	2533
1.16253	2646
1.16858	2754
1.16976	2858
1.17582	2958
1.177	3055
1.18246	3149
1.18364	3240
1.18911	3328
1.19029	3414
1.19147	3498
1.19634	3580
1.19752	3660
1.1987	3738
1.20357	3814
1.20475	3889
1.20593	3962
1.21081	4034
1.21199	4105
1.21317	4174
1.21745	4242
1.21863	4309
1.21981	4375
1.2241	4440
1.22528	4504
1.22646	4567
1.22764	4629
1.23133	4691
1.23251	4752
1.23369	4812
1.23487	4871
1.23856	4929
1.23974	4987
1.24092	5044
1.2421	5100
1.24521	5156
1.24639	5211
1.24757	5266
1.24875	5320
1.25185	5374
1.25303	5427
1.25421	5479
1.25539	5531
1.2585	5582
1.25968	5633
1.26086	5684
1.26204	5734
1.26322	5784
1.26573	5833
1.26691	5882
1.26809	5930
1.26927	5978
1.27045	6026
1.27296	6073
1.27414	6120
1.27532	6166
1.2765	6212
1.27768	6258
1.27961	6303
1.28079	6348
1.28197	6393
1.28315	6437
1.28433	6481
1.28625	6525
1.28743	6569
1.28861	6612
1.28979	6655
1.29097	6698
1.29215	6740
1.29349	6782
1.29467	6824
1.29585	6866
1.29703	6907
1.29821	6948
1.29939	6989
1.30072	7030
1.3019	7070
1.30308	7110
1.30426	7150
1.30544	7190
1.30636	7229
1.30754	7268
1.30872	7307
